id,Département,Type de document,Numéro de l'arrêté,Titre de l'arrêté,Date de signature de l'arrêté,Numéro du RAA,Date de publication du RAA,URL du RAA,Page début,Page fin,Campagne Aspas concernée,Sujet,Statut de traitement,Commentaire
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,11,17,0,,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,18,20,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,21,23,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,24,26,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,27,29,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,30,32,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,33,35,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,36,38,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,39,41,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,42,44,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,45,47,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,48,50,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,51,53,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,54,56,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,57,59,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,60,62,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,63,65,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,66,68,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,69,71,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,72,74,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,75,77,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,78,81,0,,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,82,85,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41872/250057/file/recueil-04-2025-078-recueil-des-actes-administratifs-nominatifs.pdf,3,5,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41872/250057/file/recueil-04-2025-078-recueil-des-actes-administratifs-nominatifs.pdf,6,7,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41872/250057/file/recueil-04-2025-078-recueil-des-actes-administratifs-nominatifs.pdf,8,9,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41872/250057/file/recueil-04-2025-078-recueil-des-actes-administratifs-nominatifs.pdf,10,11,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41871/250052/file/recueil-04-2025-077-recueil-des-actes-administratifs.pdf,3,7,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41871/250052/file/recueil-04-2025-077-recueil-des-actes-administratifs.pdf,8,14,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41871/250052/file/recueil-04-2025-077-recueil-des-actes-administratifs.pdf,15,17,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41871/250052/file/recueil-04-2025-077-recueil-des-actes-administratifs.pdf,18,4,0,,0,0
1,04,0,0,,12/05/2025,0,16/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41871/250052/file/recueil-04-2025-077-recueil-des-actes-administratifs.pdf,5,24,0,,0,0
1,04,0,0,,12/05/2025,0,14/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41845/249903/file/recueil-04-2025-076-recueil-des-actes-administratifs.pdf,3,7,0,,0,0
1,04,0,0,,12/05/2025,0,14/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41845/249903/file/recueil-04-2025-076-recueil-des-actes-administratifs.pdf,8,18,0,2-3,0,0
1,04,0,0,,12/05/2025,0,14/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41845/249903/file/recueil-04-2025-076-recueil-des-actes-administratifs.pdf,19,23,0,,0,0
